Temperature_K,Time_s,ElasticOnly_VtLoss_V,PalmaOnly_VtLoss_V,ElasticPlusPalma_VtLoss_V,IncrementalPalma_VtLoss_V
250,1e-11,0,0,0,0
250,1e-09,0,0,0,0
250,1e-08,0,0,0,0
250,1e-07,5.10702591327572e-15,0,5.10702591327572e-15,0
250,1e-06,1.77635683940025e-15,0,1.77635683940025e-15,0
250,1e-05,-1.95399252334028e-14,0,-1.95399252334028e-14,0
250,0.0001,-7.54951656745106e-15,0,-7.54951656745106e-15,0
250,0.001,7.92699239582362e-14,0,7.92699239582362e-14,0
250,0.01,9.15711950710829e-13,0,9.15711950710829e-13,0
250,0.1,9.32232069317251e-12,0,9.32232069317251e-12,0
250,0.2,1.86017867775945e-11,0,1.86017867775945e-11,0
250,0.5,4.65372185232127e-11,0,4.65372185232127e-11,0
250,1,9.31001942205967e-11,0,9.30959753731031e-11,-4.21884749357559e-15
250,2,1.86196835727515e-10,5.10702591327572e-15,1.86198167995144e-10,1.33226762955019e-15
250,4,3.72401887105411e-10,1.33226762955019e-15,3.72398334391733e-10,-3.5527136788005e-15
250,8,7.44819983466982e-10,8.21565038222616e-15,7.44825090492895e-10,5.10702591327572e-15
250,16,1.48967571611536e-09,8.88178419700125e-16,1.48970169533413e-09,2.59792187762287e-14
250,32,2.97937940985094e-09,-2.48689957516035e-14,2.97938873572434e-09,9.32587340685131e-15
250,64,5.95876659126304e-09,-7.54951656745106e-15,5.95875437880977e-09,-1.22124532708767e-14
250,128,1.19175591617449e-08,3.33066907387547e-15,1.191754783747e-08,-1.13242748511766e-14
250,256,2.38351272052739e-08,-3.35287353436797e-14,2.38351431924855e-08,1.59872115546023e-14
250,512,4.76702559648601e-08,-5.99520433297585e-15,4.76702501917003e-08,-5.77315972805081e-15
250,1024,9.53404653003531e-08,-2.04281036531029e-14,9.53404701853344e-08,4.88498130835069e-15
250,2048,1.90680681688704e-07,-1.99840144432528e-15,1.90680681244615e-07,-4.44089209850063e-16
250,4096,3.81360403700626e-07,9.54791801177635e-15,3.81360420576016e-07,1.68753899743024e-14
250,8192,7.62716885427395e-07,3.10862446895044e-14,7.62716926061557e-07,4.06341627012807e-14
250,16384,1.52541803521977e-06,7.8159700933611e-14,1.52541814402163e-06,1.08801856413265e-13
250,32768,3.05077306639312e-06,1.82520665248376e-13,3.05077324935787e-06,1.82964754458226e-13
250,65536,6.10129413036731e-06,3.53272966435725e-13,6.10129450651087e-06,3.76143560743003e-13
250,131072,1.22015802870301e-05,7.18536341537401e-13,1.2201581018445e-05,7.31414928623053e-13
250,262144,2.43991294075485e-05,1.48481227313368e-12,2.43991308928049e-05,1.48525636234353e-12
250,524288,4.87821401031763e-05,2.95963253904574e-12,4.87821430883439e-05,2.98516766861212e-12
250,1048576,9.74998542908612e-05,5.92925708531311e-12,9.74998602161214e-05,5.92526028242446e-12
250,2097152,0.000194742396069536,1.18942633520192e-11,0.000194742407912285,1.18427490036765e-11
250,4194304,0.000388458662649693,2.37907471500876e-11,0.000388458686222393,2.35726993480512e-11
250,8388608,0.000772837637070589,4.76427786111344e-11,0.000772837683702843,4.66322536141206e-11
250,16777216,0.00152955300862989,9.52751211258374e-11,0.00152955310000147,9.13715769712553e-11
250,33554432,0.00299615509549889,1.90581328496364e-10,0.00299615527073627,1.7523738016223e-10
250,67108864,0.00575229122251919,3.81183085096382e-10,0.00575229154506673,3.22547544229224e-10
250,134217728,0.0106310512352836,7.62394813946798e-10,0.010631051783623,5.4833937390697e-10
250,268435456,0.0183533511669038,1.524834924993e-09,0.0183533519720824,8.05178590468358e-10
250,536870912,0.0284628557059046,3.04967984199322e-09,0.0284628566417287,9.35824084891124e-10
250,1073741824,0.0388911967922752,6.09939254658798e-09,0.0388911976714359,8.7916074420491e-10
250,10000000000,0.0701809615020972,5.68050839699907e-08,0.0701809623218179,8.19720735734109e-10
300,1e-11,0,0,0,0
300,1e-09,0,0,0,0
300,1e-08,0,0,0,0
300,1e-07,5.10702591327572e-15,0,5.10702591327572e-15,0
300,1e-06,1.77635683940025e-15,0,1.77635683940025e-15,0
300,1e-05,-1.95399252334028e-14,0,-1.95399252334028e-14,0
300,0.0001,-7.54951656745106e-15,0,-7.54951656745106e-15,0
300,0.001,7.92699239582362e-14,0,7.92699239582362e-14,0
300,0.01,9.15711950710829e-13,0,9.15711950710829e-13,0
300,0.1,9.32232069317251e-12,0,9.32232069317251e-12,0
300,0.2,1.86017867775945e-11,0,1.86017867775945e-11,0
300,0.5,4.65372185232127e-11,0,4.65372185232127e-11,0
300,1,9.31001942205967e-11,5.10702591327572e-15,9.30979737745474e-11,-2.22044604925031e-15
300,2,1.86196835727515e-10,4.66293670342566e-15,1.86198612084354e-10,1.77635683940025e-15
300,4,3.72401887105411e-10,2.88657986402541e-15,3.72399444614757e-10,-2.44249065417534e-15
300,8,7.44819983466982e-10,-1.55431223447522e-15,7.44817985065538e-10,-1.99840144432528e-15
300,16,1.48967571611536e-09,-2.59792187762287e-14,1.4896868183456e-09,1.11022302462516e-14
300,32,2.97937940985094e-09,-2.1316282072803e-14,2.97936919579911e-09,-1.02140518265514e-14
300,64,5.95876659126304e-09,-6.66133814775094e-15,5.95876059605871e-09,-5.99520433297585e-15
300,128,1.19175591617449e-08,-1.04360964314765e-14,1.19175547208528e-08,-4.44089209850063e-15
300,256,2.38351272052739e-08,-2.08721928629529e-14,2.38351343107013e-08,7.105427357601e-15
300,512,4.76702559648601e-08,1.33226762955019e-15,4.76702655127781e-08,9.54791801177635e-15
300,1024,9.53404653003531e-08,-2.88657986402541e-15,9.53404775128064e-08,1.22124532708767e-14
300,2048,1.90680681688704e-07,3.17523785042795e-14,1.90680708778146e-07,2.70894418008538e-14
300,4096,3.81360403700626e-07,5.99520433297585e-14,3.81360450996127e-07,4.72955008490317e-14
300,8192,7.62716885427395e-07,1.05693231944315e-13,7.62716991342671e-07,1.0591527654924e-13
300,16384,1.52541803521977e-06,1.99396055222678e-13,1.52541824993691e-06,2.14717132962505e-13
300,32768,3.05077306639312e-06,4.26991775270835e-13,3.05077351225869e-06,4.45865566689463e-13
300,65536,6.10129413036731e-06,8.63087379343597e-13,6.10129498146428e-06,8.51096970677645e-13
300,131072,1.22015802870301e-05,1.72795111552659e-12,1.22015820276378e-05,1.74060765800732e-12
300,262144,2.43991294075485e-05,3.44968498211529e-12,2.43991328414683e-05,3.43391981516561e-12
300,524288,4.87821401031763e-05,6.89626133976162e-12,4.87821469972172e-05,6.89404089371237e-12
300,1048576,9.74998542908612e-05,1.38238309688177e-11,9.74998680880468e-05,1.37971856162267e-11
300,2097152,0.000194742396069536,2.764877216066e-11,0.000194742423593519,2.75239830926921e-11
300,4194304,0.000388458662649693,5.53297407890341e-11,0.000388458717405893,5.47561995745127e-11
300,8388608,0.000772837637070589,1.10665920871611e-10,0.00077283774541903,1.08348441330008e-10
300,16777216,0.00152955300862989,2.21334728323086e-10,0.00152955322084658,2.12216688666444e-10
300,33554432,0.00299615509549889,4.42714087611762e-10,0.00299615550251642,4.07017530790199e-10
300,67108864,0.00575229122251919,8.85470585743064e-10,0.00575229197171323,7.491940401394e-10
300,134217728,0.0106310512352836,1.77096515230346e-09,0.0106310525089901,1.27370647362568e-09
300,268435456,0.0183533511669038,3.54195228702281e-09,0.018353353037271,1.87036719445643e-09
300,536870912,0.0284628557059046,7.08393788073636e-09,0.0284628578796766,2.17377205125047e-09
300,1073741824,0.0388911967922752,1.41678910825505e-08,0.0388911988343876,2.04211247911701e-09
300,10000000000,0.0701809615020972,1.31948918014047e-07,0.0701809634061603,1.90406312938762e-09
350,1e-11,0,0,0,0
350,1e-09,0,0,0,0
350,1e-08,0,0,0,0
350,1e-07,5.10702591327572e-15,0,5.10702591327572e-15,0
350,1e-06,1.77635683940025e-15,0,1.77635683940025e-15,0
350,1e-05,-1.95399252334028e-14,0,-1.95399252334028e-14,0
350,0.0001,-7.54951656745106e-15,0,-7.54951656745106e-15,0
350,0.001,7.92699239582362e-14,0,7.92699239582362e-14,0
350,0.01,9.15711950710829e-13,0,9.15711950710829e-13,0
350,0.1,9.32232069317251e-12,0,9.31899002409864e-12,-3.33066907387547e-15
350,0.2,1.86017867775945e-11,0,1.86026749560142e-11,8.88178419700125e-16
350,0.5,4.65372185232127e-11,5.10702591327572e-15,4.65352201217684e-11,-1.99840144432528e-15
350,1,9.31001942205967e-11,4.66293670342566e-15,9.30977517299425e-11,-2.44249065417534e-15
350,2,1.86196835727515e-10,1.55431223447522e-15,1.8619483732607e-10,-1.99840144432528e-15
350,4,3.72401887105411e-10,-1.33226762955019e-15,3.72402331194621e-10,4.44089209850063e-16
350,8,7.44819983466982e-10,-4.44089209850063e-15,7.4481132372739e-10,-8.65973959207622e-15
350,16,1.48967571611536e-09,-2.35367281220533e-14,1.48967216340168e-09,-3.5527136788005e-15
350,32,2.97937940985094e-09,-1.75415237890775e-14,2.9793778555387e-09,-1.55431223447522e-15
350,64,5.95876659126304e-09,-1.37667655053519e-14,5.95876192832634e-09,-4.66293670342566e-15
350,128,1.19175591617449e-08,-4.21884749357559e-15,1.19175813662054e-08,2.22044604925031e-14
350,256,2.38351272052739e-08,6.66133814775094e-16,2.38351309800322e-08,3.77475828372553e-15
350,512,4.76702559648601e-08,-1.66533453693773e-14,4.76702499696557e-08,-5.99520433297585e-15
350,1024,9.53404653003531e-08,1.31006316905768e-14,9.53404972747762e-08,3.19744231092045e-14
350,2048,1.90680681688704e-07,5.61772850460329e-14,1.90680720990599e-07,3.93018950717305e-14
350,4096,3.81360403700626e-07,8.90398865749376e-14,3.81360504064787e-07,1.00364161426114e-13
350,8192,7.62716885427395e-07,2.04281036531029e-13,7.62717105029509e-07,2.19602114270856e-13
350,16384,1.52541803521977e-06,4.23439061592035e-13,1.52541847064924e-06,4.35429470257986e-13
350,32768,3.05077306639312e-06,8.80850947737599e-13,3.05077396522968e-06,8.98836560736527e-13
350,65536,6.10129413036731e-06,1.75948144942595e-12,6.10129592204522e-06,1.79167791714008e-12
350,131072,1.22015802870301e-05,3.5456082514429e-12,1.22015838519562e-05,3.56492613207138e-12
350,262144,2.43991294075485e-05,7.10231873313205e-12,2.43991365271867e-05,7.1196382123162e-12
350,524288,4.87821401031763e-05,1.42372780231881e-11,4.87821543260214e-05,1.4222845123868e-11
350,1048576,9.74998542908612e-05,2.85074186479051e-11,9.74998827214524e-05,2.8430591214601e-11
350,2097152,0.000194742396069536,5.7006399600823e-11,0.00019474245278106,5.67115243654825e-11
350,4194304,0.000388458662649693,1.1401612987072e-10,0.000388458775496536,1.12846842981185e-10
350,8388608,0.000772837637070589,2.28062235763105e-10,0.000772837860351094,2.23280505196044e-10
350,16777216,0.00152955300862989,4.56112259072938e-10,0.00152955344592032,4.37290426091863e-10
350,33554432,0.00299615509549889,9.12244724204925e-10,0.0029961559341789,8.38680014325632e-10
350,67108864,0.00575229122251919,1.82455761610356e-09,0.00575229276622724,1.54370805027781e-09
350,134217728,0.0106310512352836,3.64911634243015e-09,0.0106310538597245,2.62444088683367e-09
350,268435456,0.0183533511669038,7.29824045642147e-09,0.0183533550207968,3.85389298251937e-09
